@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@data
ar,ANY,ANY,1,0,0,0,o,ANY
ar,ANY,ANY,2,0,0,0,as,ANY
ar,ANY,ANY,3,0,0,0,a,ANY
ar,ANY,ANY,1,1,0,0,amos,ANY
ar,ANY,ANY,2,1,0,0,áis,ANY
ar,ANY,ANY,3,1,0,0,an,ANY
ar,g,ANY,1,0,0,0,go,ANY
ar,g,ANY,2,0,0,0,gas,ANY
ar,g,ANY,3,0,0,0,ga,ANY
ar,g,ANY,1,1,0,0,gamos,ANY
ar,g,ANY,2,1,0,0,gáis,ANY
ar,g,ANY,3,1,0,0,gan,ANY
ar,i,ANY,1,0,0,0,io,ío
ar,i,ANY,2,0,0,0,ias,ías
ar,i,ANY,3,0,0,0,ia,ía
ar,i,ANY,1,1,0,0,iamos,ANY
ar,i,ANY,2,1,0,0,iáis,ANY
ar,i,ANY,3,1,0,0,ian,ían
ar,u,ANY,1,0,0,0,uo,úo
ar,u,ANY,2,0,0,0,uas,úas
ar,u,ANY,3,0,0,0,ua,úa
ar,u,ANY,1,1,0,0,uamos,ANY
ar,u,ANY,2,1,0,0,uáis,ANY
ar,u,ANY,3,1,0,0,uan,úan
ar,ANY,ANY,1,0,1,0,aba,ANY
ar,ANY,ANY,2,0,1,0,abas,ANY
ar,ANY,ANY,3,0,1,0,aba,ANY
ar,ANY,ANY,1,1,1,0,ábamos,ANY
ar,ANY,ANY,2,1,1,0,abais,ANY
ar,ANY,ANY,3,1,1,0,aban,ANY
ar,g,ANY,1,0,1,0,gaba,ANY
ar,g,ANY,2,0,1,0,gabas,ANY
ar,g,ANY,3,0,1,0,gaba,ANY
ar,g,ANY,1,1,1,0,gábamos,ANY
ar,g,ANY,2,1,1,0,gabais,ANY
ar,g,ANY,3,1,1,0,gaban,ANY
ar,i,ANY,1,0,1,0,iaba,ANY
ar,i,ANY,2,0,1,0,iabas,ANY
ar,i,ANY,3,0,1,0,iaba,ANY
ar,i,ANY,1,1,1,0,iábamos,ANY
ar,i,ANY,2,1,1,0,iabais,ANY
ar,i,ANY,3,1,1,0,iaban,ANY
ar,u,ANY,1,0,1,0,uaba,ANY
ar,u,ANY,2,0,1,0,uabas,ANY
ar,u,ANY,3,0,1,0,uaba,ANY
ar,u,ANY,1,1,1,0,uábamos,ANY
ar,u,ANY,2,1,1,0,uabais,ANY
ar,u,ANY,3,1,1,0,uaban,ANY
ar,ANY,ANY,1,0,3,0,é,ANY
ar,ANY,ANY,2,0,3,0,aste,ANY
ar,ANY,ANY,3,0,3,0,ó,ANY
ar,ANY,ANY,1,1,3,0,amos,ANY
ar,ANY,ANY,2,1,3,0,asteis,ANY
ar,ANY,ANY,3,1,3,0,aron,ANY
