@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@attribute stemC1 string
@attribute stemC2 string
@attribute stemC3 {ANY, yag}
@data
ar,and,NULL,1,0,0,0,ando,ANY,ANY,ANY,ANY
ar,and,NULL,2,0,0,0,andas,ANY,ANY,ANY,ANY
ar,and,NULL,3,0,0,0,anda,ANY,ANY,ANY,ANY
ar,and,NULL,1,1,0,0,andamos,ANY,ANY,ANY,ANY
ar,and,NULL,2,1,0,0,andáis,ANY,ANY,ANY,ANY
ar,and,NULL,3,1,0,0,andan,ANY,ANY,ANY,ANY
ar,desand,NULL,1,0,0,0,desando,ANY,ANY,ANY,ANY
ar,desand,NULL,2,0,0,0,desandas,ANY,ANY,ANY,ANY
ar,desand,NULL,3,0,0,0,desanda,ANY,ANY,ANY,ANY
ar,desand,NULL,1,1,0,0,desandamos,ANY,ANY,ANY,ANY
ar,desand,NULL,2,1,0,0,desandáis,ANY,ANY,ANY,ANY
ar,desand,NULL,3,1,0,0,desandan,ANY,ANY,ANY,ANY
ar,d,NULL,1,0,0,0,doy,ANY,ANY,ANY,ANY
ar,d,NULL,2,0,0,0,das,ANY,ANY,ANY,ANY
ar,d,NULL,3,0,0,0,da,ANY,ANY,ANY,ANY
ar,d,NULL,1,1,0,0,damos,ANY,ANY,ANY,ANY
ar,d,NULL,2,1,0,0,dáis,ANY,ANY,ANY,ANY
ar,d,NULL,3,1,0,0,dan,ANY,ANY,ANY,ANY
ar,err,NULL,1,0,0,0,yerro,ANY,ANY,ANY,ANY
ar,err,NULL,2,0,0,0,yerras,ANY,ANY,ANY,ANY
ar,err,NULL,3,0,0,0,yerra,ANY,ANY,ANY,ANY
ar,err,NULL,1,1,0,0,erramos,ANY,ANY,ANY,ANY
ar,err,NULL,2,1,0,0,erráis,ANY,ANY,ANY,ANY
ar,err,NULL,3,1,0,0,yerran,ANY,ANY,ANY,ANY
ar,jug,NULL,1,0,0,0,juego,ANY,ANY,ANY,ANY
ar,jug,NULL,2,0,0,0,juegas,ANY,ANY,ANY,ANY
ar,jug,NULL,3,0,0,0,juega,ANY,ANY,ANY,ANY
ar,jug,NULL,1,1,0,0,jugamos,ANY,ANY,ANY,ANY
ar,jug,NULL,2,1,0,0,jugáis,ANY,ANY,ANY,ANY
ar,jug,NULL,3,1,0,0,juegan,ANY,ANY,ANY,ANY
ar,and,NULL,1,0,1,0,andaba,ANY,ANY,ANY,ANY
ar,and,NULL,2,0,1,0,andabas,ANY,ANY,ANY,ANY
ar,and,NULL,3,0,1,0,andaba,ANY,ANY,ANY,ANY
ar,and,NULL,1,1,1,0,andábamos,ANY,ANY,ANY,ANY
ar,and,NULL,2,1,1,0,andabais,ANY,ANY,ANY,ANY
ar,and,NULL,3,1,1,0,andaban,ANY,ANY,ANY,ANY
ar,desand,NULL,1,0,1,0,desandaba,ANY,ANY,ANY,ANY
ar,desand,NULL,2,0,1,0,desandabas,ANY,ANY,ANY,ANY
ar,desand,NULL,3,0,1,0,desandaba,ANY,ANY,ANY,ANY
ar,desand,NULL,1,1,1,0,desandábamos,ANY,ANY,ANY,ANY
ar,desand,NULL,2,1,1,0,desandabais,ANY,ANY,ANY,ANY
ar,desand,NULL,3,1,1,0,desandaban,ANY,ANY,ANY,ANY
ar,d,NULL,1,0,1,0,daba,ANY,ANY,ANY,ANY
ar,d,NULL,2,0,1,0,dabas,ANY,ANY,ANY,ANY
ar,d,NULL,3,0,1,0,daba,ANY,ANY,ANY,ANY
ar,d,NULL,1,1,1,0,dábamos,ANY,ANY,ANY,ANY
ar,d,NULL,2,1,1,0,dabais,ANY,ANY,ANY,ANY
ar,d,NULL,3,1,1,0,daban,ANY,ANY,ANY,ANY
ar,err,NULL,1,0,1,0,erraba,ANY,ANY,ANY,ANY
ar,err,NULL,2,0,1,0,errabas,ANY,ANY,ANY,ANY
ar,err,NULL,3,0,1,0,erraba,ANY,ANY,ANY,ANY
ar,err,NULL,1,1,1,0,errábamos,ANY,ANY,ANY,ANY
ar,err,NULL,2,1,1,0,errabais,ANY,ANY,ANY,ANY
