@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@attribute stemC1 string
@attribute stemC2 string
@attribute stemC3 {ANY, yag}
@data
ar,ANY,ANY,1,0,0,0,o,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,0,0,as,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,0,0,a,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,0,0,amos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,0,0,áis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,0,0,an,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,0,0,co,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,0,0,cas,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,0,0,ca,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,0,0,camos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,0,0,cáis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,0,0,can,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,0,0,go,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,0,0,gas,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,0,0,ga,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,0,0,gamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,0,0,gáis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,0,0,gan,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,0,0,guo,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,0,0,guas,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,0,0,gua,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,0,0,guamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,0,0,guáis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,0,0,guan,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,0,0,zo,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,0,0,zas,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,0,0,za,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,0,0,zamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,0,0,záis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,0,0,zan,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,0,0,io,ío,ANY,ANY,ANY
ar,i,ANY,2,0,0,0,ias,ías,ANY,ANY,ANY
ar,i,ANY,3,0,0,0,ia,ía,ANY,ANY,ANY
ar,i,ANY,1,1,0,0,iamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,0,0,iáis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,0,0,ian,ían,ANY,ANY,ANY
ar,u,ANY,1,0,0,0,uo,úo,ANY,ANY,ANY
ar,u,ANY,2,0,0,0,uas,úas,ANY,ANY,ANY
ar,u,ANY,3,0,0,0,ua,úa,ANY,ANY,ANY
ar,u,ANY,1,1,0,0,uamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,0,0,uáis,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,0,0,uan,úan,ANY,ANY,ANY
ar,ANY,ANY,1,0,1,0,aba,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,1,0,abas,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,1,0,aba,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,1,0,ábamos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,1,0,abais,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,1,0,aban,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,1,0,caba,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,1,0,cabas,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,1,0,caba,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,1,0,cábamos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,1,0,cabais,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,1,0,caban,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,1,0,gaba,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,1,0,gabas,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,1,0,gaba,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,1,0,gábamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,1,0,gabais,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,1,0,gaban,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,1,0,guaba,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,1,0,guabas,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,1,0,guaba,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,1,0,guábamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,1,0,guabais,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,1,0,guaban,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,1,0,zaba,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,1,0,zabas,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,1,0,zaba,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,1,0,zábamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,1,0,zabais,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,1,0,zaban,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,1,0,iaba,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,1,0,iabas,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,1,0,iaba,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,1,0,iábamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,1,0,iabais,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,1,0,iaban,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,1,0,uaba,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,1,0,uabas,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,1,0,uaba,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,1,0,uábamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,1,0,uabais,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,1,0,uaban,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,0,3,0,é,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,3,0,aste,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,3,0,ó,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,3,0,amos,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,1,3,0,asteis,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,1,3,0,aron,ANY,ANY,ANY,ANY
ar,gu,ANY,1,0,3,0,güé,ANY,ANY,ANY,ANY
ar,gu,ANY,2,0,3,0,guaste,ANY,ANY,ANY,ANY
ar,gu,ANY,3,0,3,0,guó,ANY,ANY,ANY,ANY
ar,gu,ANY,1,1,3,0,guamos,ANY,ANY,ANY,ANY
ar,gu,ANY,2,1,3,0,guasteis,ANY,ANY,ANY,ANY
ar,gu,ANY,3,1,3,0,guaron,ANY,ANY,ANY,ANY
ar,c,ANY,1,0,3,0,qué,ANY,ANY,ANY,ANY
ar,c,ANY,2,0,3,0,caste,ANY,ANY,ANY,ANY
ar,c,ANY,3,0,3,0,có,ANY,ANY,ANY,ANY
ar,c,ANY,1,1,3,0,camos,ANY,ANY,ANY,ANY
ar,c,ANY,2,1,3,0,casteis,ANY,ANY,ANY,ANY
ar,c,ANY,3,1,3,0,caron,ANY,ANY,ANY,ANY
ar,g,ANY,1,0,3,0,gué,ANY,ANY,ANY,ANY
ar,g,ANY,2,0,3,0,gaste,ANY,ANY,ANY,ANY
ar,g,ANY,3,0,3,0,gó,ANY,ANY,ANY,ANY
ar,g,ANY,1,1,3,0,gamos,ANY,ANY,ANY,ANY
ar,g,ANY,2,1,3,0,gasteis,ANY,ANY,ANY,ANY
ar,g,ANY,3,1,3,0,garon,ANY,ANY,ANY,ANY
ar,z,ANY,1,0,3,0,cé,ANY,ANY,ANY,ANY
ar,z,ANY,2,0,3,0,zaste,ANY,ANY,ANY,ANY
ar,z,ANY,3,0,3,0,zó,ANY,ANY,ANY,ANY
ar,z,ANY,1,1,3,0,zamos,ANY,ANY,ANY,ANY
ar,z,ANY,2,1,3,0,zasteis,ANY,ANY,ANY,ANY
ar,z,ANY,3,1,3,0,zaron,ANY,ANY,ANY,ANY
ar,i,ANY,1,0,3,0,ié,ANY,ANY,ANY,ANY
ar,i,ANY,2,0,3,0,iaste,ANY,ANY,ANY,ANY
ar,i,ANY,3,0,3,0,ió,ANY,ANY,ANY,ANY
ar,i,ANY,1,1,3,0,iamos,ANY,ANY,ANY,ANY
ar,i,ANY,2,1,3,0,iasteis,ANY,ANY,ANY,ANY
ar,i,ANY,3,1,3,0,iaron,ANY,ANY,ANY,ANY
ar,u,ANY,1,0,3,0,ué,ANY,ANY,ANY,ANY
ar,u,ANY,2,0,3,0,uaste,ANY,ANY,ANY,ANY
ar,u,ANY,3,0,3,0,uó,ANY,ANY,ANY,ANY
ar,u,ANY,1,1,3,0,uamos,ANY,ANY,ANY,ANY
ar,u,ANY,2,1,3,0,uasteis,ANY,ANY,ANY,ANY
ar,u,ANY,3,1,3,0,uaron,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,0,2,0,aré,ANY,ANY,ANY,ANY
ar,ANY,ANY,2,0,2,0,arás,ANY,ANY,ANY,ANY
ar,ANY,ANY,3,0,2,0,ará,ANY,ANY,ANY,ANY
ar,ANY,ANY,1,1,2,0,aremos,ANY,ANY,ANY,ANY
